1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
,,,,,,,,,,,,,,,,,,,83.21%,37.61%,,,,,,,,33.21%,,,,,56.52%,
,,,,,,,,,,,,,,,,,,,83.23%,41.63%,,,,,,,,33.24%,,,,,56.54%,
,,,,,,,,,,,,,,,,,,,83.36%,41.67%,,,,,,,,33.27%,,,,,56.64%,
,,,,,,,,,,,,,,,,,,,83.40%,41.71%,,,,,,,,33.32%,,,,,56.69%,
,,,,,,,,,,,,,,,,,,,83.43%,41.79%,,,,,,,,33.35%,,,,,56.97%,
,,,,,,,,,,,,,,,,,,,83.44%,41.85%,,,,,,,,33.37%,,,,,57.31%,
,,,,,,,,,,,,,,,,,,,83.47%,41.90%,,,,,,,,36.54%,,,,,57.36%,
,,,,,,,,,,,,,,,,,,,83.48%,42.42%,,,,,,,,36.69%,,,,,57.39%,
,,,,,,,,,,,,,,,,,,,83.55%,42.67%,,,,,,,,37.13%,,,,,58.28%,
,,,,,,,,,,,,,,,,,,,83.57%,43.61%,,,,,,,,37.89%,,,,,58.41%,
,,,,,,,,,,,,,,,,,,,83.97%,43.71%,,,,,,,,37.92%,,,,,58.45%,
,,,,,,,,,,,,,,,,,,,84.06%,44.73%,,,,,,,,37.93%,,,,,58.49%,
,,,,,,,,,,,,,,,,,,,84.15%,45.61%,,,,,,,,38.87%,,,,,64.23%,
,,,,,,,,,,,,,,,,,,,84.16%,45.82%,,,,,,,,38.91%,,,,,64.32%,
,,,,,,,,,,,,,,,,,,,84.19%,45.88%,,,,,,,,38.95%,,,,,64.57%,
,,,,,,,,,,,,,,,,,,,84.22%,55.49%,,,,,,,,39.94%,,,,,65.68%,
,,,,,,,,,,,,,,,,,,,84.25%,55.51%,,,,,,,,39.95%,,,,,65.80%,
,,,,,,,,,,,,,,,,,,,84.29%,55.68%,,,,,,,,39.97%,,,,,66.07%,
,,,,,,,,,,,,,,,,,,,84.31%,55.97%,,,,,,,,40.24%,,,,,66.19%,
,,,,,,,,,,,,,,,,,,,84.36%,61.47%,,,,,,,,40.32%,,,,,66.36%,
,,,,,,,,,,,,,,,,,,,84.42%,61.51%,,,,,,,,42.99%,,,,,66.38%,
,,,,,,,,,,,,,,,,,,,84.48%,61.96%,,,,,,,,50.11%,,,,,66.43%,
,,,,,,,,,,,,,,,,,,,85.88%,66.46%,,,,,,,,50.13%,,,,,66.48%,
,,,,,,,,,,,,,,,,,,,,66.77%,,,,,,,,50.19%,,,,,66.50%,
,,,,,,,,,,,,,,,,,,,,66.87%,,,,,,,,50.21%,,,,,66.80%,
,,,,,,,,,,,,,,,,,,,,73.91%,,,,,,,,50.24%,,,,,70.07%,
,,,,,,,,,,,,,,,,,,,,73.92%,,,,,,,,50.47%,,,,,70.10%,
,,,,,,,,,,,,,,,,,,,,74.42%,,,,,,,,50.51%,,,,,74.07%,
,,,,,,,,,,,,,,,,,,,,74.89%,,,,,,,,57.61%,,,,,74.14%,
,,,,,,,,,,,,,,,,,,,,75.36%,,,,,,,,57.65%,,,,,75.45%,
,,,,,,,,,,,,,,,,,,,,77.11%,,,,,,,,57.67%,,,,,75.46%,
,,,,,,,,,,,,,,,,,,,,77.41%,,,,,,,,57.79%,,,,,75.78%,
,,,,,,,,,,,,,,,,,,,,77.43%,,,,,,,,57.86%,,,,,83.97%,
,,,,,,,,,,,,,,,,,,,,77.71%,,,,,,,,57.96%,,,,,84.18%,
,,,,,,,,,,,,,,,,,,,,78.64%,,,,,,,,58.03%,,,,,87.12%,
,,,,,,,,,,,,,,,,,,,,78.65%,,,,,,,,58.16%,,,,,87.14%,
,,,,,,,,,,,,,,,,,,,,79.87%,,,,,,,,58.44%,,,,,87.19%,
,,,,,,,,,,,,,,,,,,,,80.99%,,,,,,,,58.46%,,,,,,
,,,,,,,,,,,,,,,,,,,,81.06%,,,,,,,,58.50%,,,,,,
,,,,,,,,,,,,,,,,,,,,81.75%,,,,,,,,69.28%,,,,,,
,,,,,,,,,,,,,,,,,,,,81.82%,,,,,,,,69.37%,,,,,,
