Distribution,Film NO.,,
73.89%,26 ,,
73.91%,26 ,,
73.93%,26 ,,
73.95%,26 ,,
74.05%,26 ,,
26.08%,27 ,,Aquaman (2018)
26.11%,27 ,,
26.14%,27 ,,
26.23%,27 ,,
26.24%,27 ,,
26.26%,27 ,,
49.36%,27 ,,
49.39%,27 ,,
93.89%,27 ,,
93.91%,27 ,,
93.96%,27 ,,
93.98%,27 ,,
94.00%,27 ,,
94.02%,27 ,,
94.04%,27 ,,
94.07%,27 ,,
94.10%,27 ,,
94.14%,27 ,,
94.18%,27 ,,
94.36%,27 ,,
94.39%,27 ,,
30.43%,28 ,,Avengers 4: Endgame (2019)
30.46%,28 ,,
30.62%,28 ,,
30.67%,28 ,,
30.96%,28 ,,
30.98%,28 ,,
31.01%,28 ,,
76.17%,28 ,,
89.80%,28 ,,
3.26%,29 ,,Spider-Man: Far From Home (2019)
3.35%,29 ,,
3.41%,29 ,,
3.47%,29 ,,
3.64%,29 ,,
3.67%,29 ,,
3.72%,29 ,,
3.76%,29 ,,
3.79%,29 ,,
3.83%,29 ,,
4.07%,29 ,,
4.15%,29 ,,
4.17%,29 ,,
4.51%,29 ,,
8.28%,29 ,,
8.73%,29 ,,
8.81%,29 ,,
8.83%,29 ,,
8.86%,29 ,,
8.88%,29 ,,
8.90%,29 ,,
8.93%,29 ,,
8.96%,29 ,,
9.01%,29 ,,
9.04%,29 ,,
9.06%,29 ,,
9.16%,29 ,,
9.19%,29 ,,
9.20%,29 ,,
9.38%,29 ,,
9.40%,29 ,,
9.42%,29 ,,
9.45%,29 ,,
9.51%,29 ,,
9.53%,29 ,,
9.58%,29 ,,
9.60%,29 ,,
9.62%,29 ,,
10.17%,29 ,,
10.23%,29 ,,
10.26%,29 ,,
10.46%,29 ,,
10.48%,29 ,,
11.59%,29 ,,
11.61%,29 ,,
11.65%,29 ,,
11.82%,29 ,,
11.83%,29 ,,
11.86%,29 ,,
11.88%,29 ,,
11.95%,29 ,,
11.99%,29 ,,
12.02%,29 ,,
12.06%,29 ,,
12.09%,29 ,,
15.86%,29 ,,
15.88%,29 ,,
19.58%,29 ,,
20.86%,29 ,,
20.96%,29 ,,
20.99%,29 ,,
21.03%,29 ,,
21.38%,29 ,,
21.54%,29 ,,
21.55%,29 ,,
21.57%,29 ,,
26.67%,29 ,,
26.71%,29 ,,
26.74%,29 ,,
27.08%,29 ,,
27.24%,29 ,,
33.05%,29 ,,
33.07%,29 ,,
33.10%,29 ,,
33.13%,29 ,,
33.17%,29 ,,
33.21%,29 ,,
33.24%,29 ,,
33.27%,29 ,,
33.32%,29 ,,
33.35%,29 ,,
33.37%,29 ,,
36.54%,29 ,,
36.69%,29 ,,
37.13%,29 ,,
37.89%,29 ,,
37.92%,29 ,,
37.93%,29 ,,
38.87%,29 ,,
38.91%,29 ,,
38.95%,29 ,,
39.94%,29 ,,
39.95%,29 ,,
39.97%,29 ,,
40.24%,29 ,,
40.32%,29 ,,
42.99%,29 ,,
50.11%,29 ,,
50.13%,29 ,,
50.19%,29 ,,
50.21%,29 ,,
50.24%,29 ,,
50.47%,29 ,,
50.51%,29 ,,
57.61%,29 ,,
57.65%,29 ,,
57.67%,29 ,,
57.79%,29 ,,
57.86%,29 ,,
57.96%,29 ,,
58.03%,29 ,,
58.16%,29 ,,
58.44%,29 ,,
58.46%,29 ,,
58.50%,29 ,,
69.28%,29 ,,
69.37%,29 ,,
69.39%,29 ,,
69.41%,29 ,,
69.43%,29 ,,
69.46%,29 ,,
69.48%,29 ,,
69.51%,29 ,,
69.53%,29 ,,
69.55%,29 ,,
69.80%,29 ,,
69.83%,29 ,,
71.23%,29 ,,
71.27%,29 ,,
71.38%,29 ,,
73.94%,29 ,,
73.96%,29 ,,
74.05%,29 ,,
80.36%,29 ,,
80.43%,29 ,,
80.45%,29 ,,
83.37%,29 ,,
87.14%,29 ,,
87.19%,29 ,,
87.22%,29 ,,
87.24%,29 ,,
5.87%,30 ,,Captain Marvel (2019)
8.33%,30 ,,
8.37%,30 ,,
8.42%,30 ,,
9.16%,30 ,,
9.60%,30 ,,
22.08%,30 ,,
22.11%,30 ,,
57.03%,30 ,,
57.22%,30 ,,
57.25%,30 ,,
71.52%,30 ,,
71.56%,30 ,,
79.45%,30 ,,
,31 ,,Joker (2019)
10.94%,32 ,,Star Wars: The Rise of Skywalker (2019)
12.52%,32 ,,
12.55%,32 ,,
12.57%,32 ,,
21.74%,32 ,,
