word,freq_text1,freq_text2,log_likelihood,key_in
rusted,1,3,4.045310063091387,Text1
mister,1,3,4.045310063091387,Text1
stripped,1,3,4.045310063091387,Text1
sources,1,3,4.045310063091387,Text1
floating,1,3,4.045310063091387,Text1
perfume,1,3,4.045310063091387,Text1
cages,1,3,4.045310063091387,Text1
states,1,3,4.045310063091387,Text1
stream,1,3,4.045310063091387,Text1
photos,1,3,4.045310063091387,Text1
fist,1,3,4.045310063091387,Text1
traveling,1,3,4.045310063091387,Text1
freighter,1,3,4.045310063091387,Text1
hah,1,3,4.045310063091387,Text1
detachment,1,3,4.045310063091387,Text1
explosions,1,3,4.045310063091387,Text1
luck,3,48,3.958548315782755,Text1
trap,2,21,3.9384790041095354,Text1
reality,2,21,3.9384790041095354,Text1
job,0,133,3.9075056367347307,Text2
cool,3,49,3.8678882482223074,Text1
idea,0,130,3.8193658043354524,Text2
end,0,129,3.789985860436667,Text2
bag,2,22,3.789934602874046,Text1
fresh,2,22,3.789934602874046,Text1
wait,10,338,3.786740961392452,Text1
harry,0,128,3.76060591665807,Text2
chance,0,127,3.7312259730015467,Text2
five,0,125,3.6724660860624896,Text2
trust,0,124,3.643086142783955,Text2
keep,1,289,3.6103499923892746,Text2
resistance,3,52,3.6096820007746127,Text1
in,57,2958,3.5872761112996727,Text1
see,6,807,3.581465335475567,Text2
reveal,1,4,3.569346944002852,Text1
growth,1,4,3.569346944002852,Text1
bills,1,4,3.569346944002852,Text1
americans,1,4,3.569346944002852,Text1
witnesses,1,4,3.569346944002852,Text1
rate,1,4,3.569346944002852,Text1
manners,1,4,3.569346944002852,Text1
transformium,1,4,3.569346944002852,Text1
coolest,1,4,3.569346944002852,Text1
material,1,4,3.569346944002852,Text1
selling,1,4,3.569346944002852,Text1
extraction,1,4,3.569346944002852,Text1
packed,1,4,3.569346944002852,Text1
bonus,1,4,3.569346944002852,Text1
added,1,4,3.569346944002852,Text1
knots,1,4,3.569346944002852,Text1
related,1,4,3.569346944002852,Text1
inspired,1,4,3.569346944002852,Text1
frequency,1,4,3.569346944002852,Text1
hyperspace,1,4,3.569346944002852,Text1
suits,1,4,3.569346944002852,Text1
mobile,1,4,3.569346944002852,Text1
environment,1,4,3.569346944002852,Text1
acknowledge,1,4,3.569346944002852,Text1
mapping,1,4,3.569346944002852,Text1
genome,1,4,3.569346944002852,Text1
reasons,1,4,3.569346944002852,Text1
